n	real_n	max_n	Time (s)	m	r
157.0	157.0	210.0	0.09256696701049805	10.0	4.0
159.0	159.0	210.0	0.07767701148986816	10.0	4.0
161.0	161.0	210.0	0.13821983337402344	10.0	4.0
163.0	163.0	210.0	0.31540513038635254	10.0	4.0
165.0	0.0	210.0	0.08979487419128418	10.0	4.0
168.0	0.0	210.0	0.21954584121704102	10.0	4.0
170.0	170.0	210.0	0.28800368309020996	10.0	4.0
172.0	172.0	210.0	0.7055296897888184	10.0	4.0
174.0	0.0	210.0	0.15680313110351562	10.0	4.0
176.0	0.0	210.0	8.365283966064453	10.0	4.0
178.0	0.0	210.0	0.2651839256286621	10.0	4.0
180.0	0.0	210.0	0.4304332733154297	10.0	4.0
182.0	0.0	210.0	0.5591349601745605	10.0	4.0
184.0	0.0	210.0	0.2765932083129883	10.0	4.0
186.0	0.0	210.0	0.37331271171569824	10.0	4.0
189.0	0.0	210.0	0.9509303569793701	10.0	4.0
191.0	0.0	210.0	0.23033857345581055	10.0	4.0
193.0	0.0	210.0	2.4981396198272705	10.0	4.0
195.0	0.0	210.0	0.8577098846435547	10.0	4.0
197.0	0.0	210.0	0.6243064403533936	10.0	4.0
199.0	0.0	210.0	0.49146461486816406	10.0	4.0
201.0	0.0	210.0	1.941509485244751	10.0	4.0
203.0	0.0	210.0	1.9043278694152832	10.0	4.0
205.0	0.0	210.0	391.26836133003235	10.0	4.0
207.0	0.0	210.0	1.3897206783294678	10.0	4.0
126.0	126.0	210.0	0.1121222972869873	10.0	5.0
128.0	128.0	210.0	0.11869311332702637	10.0	5.0
130.0	130.0	210.0	0.12085366249084473	10.0	5.0
132.0	132.0	210.0	0.1250607967376709	10.0	5.0
134.0	134.0	210.0	0.12791943550109863	10.0	5.0
136.0	136.0	210.0	0.1296098232269287	10.0	5.0
138.0	138.0	210.0	0.13061904907226562	10.0	5.0
140.0	140.0	210.0	0.13669991493225098	10.0	5.0
142.0	142.0	210.0	0.14379072189331055	10.0	5.0
144.0	144.0	210.0	0.1532151699066162	10.0	5.0
147.0	147.0	210.0	0.15854096412658691	10.0	5.0
149.0	149.0	210.0	0.16283392906188965	10.0	5.0
151.0	151.0	210.0	0.16710114479064941	10.0	5.0
153.0	153.0	210.0	0.17377877235412598	10.0	5.0
155.0	155.0	210.0	0.17978835105895996	10.0	5.0
157.0	157.0	210.0	0.18175339698791504	10.0	5.0
159.0	159.0	210.0	0.1861264705657959	10.0	5.0
161.0	161.0	210.0	0.18860530853271484	10.0	5.0
163.0	163.0	210.0	0.1927034854888916	10.0	5.0
165.0	165.0	210.0	0.20124506950378418	10.0	5.0
168.0	168.0	210.0	0.20389103889465332	10.0	5.0
170.0	170.0	210.0	0.20894455909729004	10.0	5.0
172.0	172.0	210.0	0.20965933799743652	10.0	5.0
174.0	174.0	210.0	0.21586132049560547	10.0	5.0
176.0	176.0	210.0	0.2237710952758789	10.0	5.0
178.0	178.0	210.0	0.23681044578552246	10.0	5.0
180.0	180.0	210.0	0.23602962493896484	10.0	5.0
182.0	182.0	210.0	0.2561779022216797	10.0	5.0
184.0	184.0	210.0	0.2620813846588135	10.0	5.0
186.0	186.0	210.0	0.25565314292907715	10.0	5.0
189.0	189.0	210.0	0.2772245407104492	10.0	5.0
191.0	191.0	210.0	0.28369784355163574	10.0	5.0
193.0	193.0	210.0	0.2686314582824707	10.0	5.0
195.0	195.0	210.0	107.53438568115234	10.0	5.0
197.0	197.0	210.0	8.199208736419678	10.0	5.0
199.0	0.0	210.0	400.0005078315735	10.0	5.0
201.0	201.0	210.0	286.308620929718	10.0	5.0
203.0	0.0	210.0	400.0003619194031	10.0	5.0
205.0	0.0	210.0	400.0006675720215	10.0	5.0
207.0	0.0	210.0	400.00035667419434	10.0	5.0
72.0	72.0	120.0	0.04368329048156738	10.0	6.0
73.0	73.0	120.0	0.041944026947021484	10.0	6.0
74.0	74.0	120.0	0.043160200119018555	10.0	6.0
75.0	75.0	120.0	0.04456019401550293	10.0	6.0
76.0	76.0	120.0	0.045061588287353516	10.0	6.0
78.0	78.0	120.0	0.047348737716674805	10.0	6.0
79.0	79.0	120.0	0.04842853546142578	10.0	6.0
80.0	80.0	120.0	0.049138545989990234	10.0	6.0
81.0	81.0	120.0	0.05084085464477539	10.0	6.0
82.0	82.0	120.0	0.05504131317138672	10.0	6.0
84.0	84.0	120.0	0.057149410247802734	10.0	6.0
85.0	85.0	120.0	0.05734729766845703	10.0	6.0
86.0	86.0	120.0	0.05939340591430664	10.0	6.0
87.0	87.0	120.0	0.057218074798583984	10.0	6.0
88.0	88.0	120.0	0.06000542640686035	10.0	6.0
90.0	90.0	120.0	0.06255722045898438	10.0	6.0
91.0	91.0	120.0	0.06284809112548828	10.0	6.0
92.0	92.0	120.0	0.06356477737426758	10.0	6.0
