n	real_n	max_n	Time (s)	m	r
159.0	159.0	210.0	0.19613265991210938	10.0	4.0
161.0	161.0	210.0	0.20406603813171387	10.0	4.0
163.0	163.0	210.0	0.2062525749206543	10.0	4.0
165.0	165.0	210.0	0.2155458927154541	10.0	4.0
168.0	168.0	210.0	0.22621464729309082	10.0	4.0
170.0	170.0	210.0	0.22554898262023926	10.0	4.0
172.0	172.0	210.0	0.23416972160339355	10.0	4.0
174.0	174.0	210.0	0.23661112785339355	10.0	4.0
176.0	176.0	210.0	0.26764512062072754	10.0	4.0
178.0	178.0	210.0	0.25134754180908203	10.0	4.0
180.0	180.0	210.0	0.26552271842956543	10.0	4.0
182.0	182.0	210.0	0.2678976058959961	10.0	4.0
184.0	184.0	210.0	0.2843797206878662	10.0	4.0
186.0	186.0	210.0	0.6670436859130859	10.0	4.0
189.0	189.0	210.0	2.5289995670318604	10.0	4.0
191.0	191.0	210.0	0.31682395935058594	10.0	4.0
193.0	193.0	210.0	0.378948450088501	10.0	4.0
195.0	0.0	210.0	400.00032806396484	10.0	4.0
197.0	197.0	210.0	8.028819561004639	10.0	4.0
199.0	0.0	210.0	400.00032925605774	10.0	4.0
201.0	0.0	210.0	400.00034856796265	10.0	4.0
203.0	0.0	210.0	400.0003299713135	10.0	4.0
205.0	0.0	210.0	400.0003733634949	10.0	4.0
207.0	0.0	210.0	400.0003435611725	10.0	4.0
126.0	126.0	210.0	0.14044904708862305	10.0	5.0
128.0	128.0	210.0	0.14421391487121582	10.0	5.0
130.0	130.0	210.0	0.14688897132873535	10.0	5.0
132.0	132.0	210.0	0.15086936950683594	10.0	5.0
134.0	134.0	210.0	0.1522355079650879	10.0	5.0
136.0	136.0	210.0	0.15856075286865234	10.0	5.0
138.0	138.0	210.0	0.16263437271118164	10.0	5.0
140.0	140.0	210.0	0.16626453399658203	10.0	5.0
142.0	142.0	210.0	0.16945600509643555	10.0	5.0
144.0	144.0	210.0	0.17473149299621582	10.0	5.0
147.0	147.0	210.0	0.17704510688781738	10.0	5.0
149.0	149.0	210.0	0.18498015403747559	10.0	5.0
151.0	151.0	210.0	0.1942760944366455	10.0	5.0
153.0	153.0	210.0	0.19218730926513672	10.0	5.0
155.0	155.0	210.0	0.19699525833129883	10.0	5.0
157.0	157.0	210.0	0.20116639137268066	10.0	5.0
159.0	159.0	210.0	0.20831680297851562	10.0	5.0
161.0	161.0	210.0	0.21406841278076172	10.0	5.0
163.0	163.0	210.0	0.21590757369995117	10.0	5.0
165.0	165.0	210.0	0.22465062141418457	10.0	5.0
168.0	168.0	210.0	0.23174285888671875	10.0	5.0
170.0	170.0	210.0	0.23514032363891602	10.0	5.0
172.0	172.0	210.0	0.2447061538696289	10.0	5.0
174.0	174.0	210.0	0.2436845302581787	10.0	5.0
176.0	176.0	210.0	0.24970674514770508	10.0	5.0
178.0	178.0	210.0	0.2513086795806885	10.0	5.0
180.0	180.0	210.0	0.2583322525024414	10.0	5.0
182.0	182.0	210.0	0.2714381217956543	10.0	5.0
184.0	184.0	210.0	0.27702760696411133	10.0	5.0
186.0	186.0	210.0	0.28269147872924805	10.0	5.0
189.0	189.0	210.0	0.36563563346862793	10.0	5.0
191.0	191.0	210.0	0.8972859382629395	10.0	5.0
193.0	193.0	210.0	26.582796812057495	10.0	5.0
195.0	195.0	210.0	7.921688556671143	10.0	5.0
197.0	0.0	210.0	400.0003640651703	10.0	5.0
199.0	199.0	210.0	12.319793701171875	10.0	5.0
201.0	0.0	210.0	400.00037693977356	10.0	5.0
203.0	0.0	210.0	400.00047850608826	10.0	5.0
205.0	0.0	210.0	400.00048208236694	10.0	5.0
207.0	0.0	210.0	400.0013761520386	10.0	5.0
72.0	72.0	120.0	0.05588507652282715	10.0	6.0
73.0	73.0	120.0	0.056638479232788086	10.0	6.0
74.0	74.0	120.0	0.058237552642822266	10.0	6.0
75.0	75.0	120.0	0.05981802940368652	10.0	6.0
76.0	76.0	120.0	0.06144523620605469	10.0	6.0
78.0	78.0	120.0	0.06431031227111816	10.0	6.0
79.0	79.0	120.0	0.06471443176269531	10.0	6.0
80.0	80.0	120.0	0.06694912910461426	10.0	6.0
81.0	81.0	120.0	0.06664848327636719	10.0	6.0
82.0	82.0	120.0	0.06769442558288574	10.0	6.0
84.0	84.0	120.0	0.07179999351501465	10.0	6.0
85.0	85.0	120.0	0.07259488105773926	10.0	6.0
86.0	86.0	120.0	0.07451844215393066	10.0	6.0
87.0	87.0	120.0	0.07617521286010742	10.0	6.0
88.0	88.0	120.0	0.07638072967529297	10.0	6.0
90.0	90.0	120.0	0.07945585250854492	10.0	6.0
91.0	91.0	120.0	0.08137297630310059	10.0	6.0
92.0	92.0	120.0	0.08335137367248535	10.0	6.0
93.0	93.0	120.0	0.08346772193908691	10.0	6.0
94.0	94.0	120.0	0.0853891372680664	10.0	6.0
96.0	96.0	120.0	0.08889126777648926	10.0	6.0
97.0	97.0	120.0	0.08936142921447754	10.0	6.0
98.0	98.0	120.0	0.09146404266357422	10.0	6.0
99.0	99.0	120.0	0.09577083587646484	10.0	6.0
100.0	100.0	120.0	0.0967860221862793	10.0	6.0
102.0	102.0	120.0	0.10353732109069824	10.0	6.0
103.0	103.0	120.0	0.0978233814239502	10.0	6.0
104.0	104.0	120.0	0.11517953872680664	10.0	6.0
105.0	105.0	120.0	0.12261176109313965	10.0	6.0
106.0	106.0	120.0	0.10442757606506348	10.0	6.0
108.0	108.0	120.0	0.11056661605834961	10.0	6.0
109.0	109.0	120.0	0.10918784141540527	10.0	6.0
110.0	110.0	120.0	0.11219525337219238	10.0	6.0
111.0	111.0	120.0	0.12126517295837402	10.0	6.0
112.0	112.0	120.0	0.11884379386901855	10.0	6.0
114.0	114.0	120.0	0.13840103149414062	10.0	6.0
115.0	115.0	120.0	0.29063844680786133	10.0	6.0
116.0	116.0	120.0	35.9837749004364	10.0	6.0
117.0	117.0	120.0	0.2805466651916504	10.0	6.0
118.0	118.0	120.0	201.441397190094	10.0	6.0
27.0	27.0	45.0	0.013681411743164062	10.0	7.0
27.0	27.0	45.0	0.01378321647644043	10.0	7.0
27.0	27.0	45.0	0.01342463493347168	10.0	7.0
28.0	28.0	45.0	0.014223575592041016	10.0	7.0
28.0	28.0	45.0	0.014150381088256836	10.0	7.0
29.0	29.0	45.0	0.014931440353393555	10.0	7.0
29.0	29.0	45.0	0.014906167984008789	10.0	7.0
30.0	30.0	45.0	0.015601158142089844	10.0	7.0
30.0	30.0	45.0	0.015482425689697266	10.0	7.0
31.0	31.0	45.0	0.01636528968811035	10.0	7.0
31.0	31.0	45.0	0.016273021697998047	10.0	7.0
31.0	31.0	45.0	0.016651153564453125	10.0	7.0
32.0	32.0	45.0	0.01706409454345703	10.0	7.0
32.0	32.0	45.0	0.01709294319152832	10.0	7.0
33.0	33.0	45.0	0.018433570861816406	10.0	7.0
33.0	33.0	45.0	0.0178070068359375	10.0	7.0
34.0	34.0	45.0	0.018711090087890625	10.0	7.0
34.0	34.0	45.0	0.018380165100097656	10.0	7.0
35.0	35.0	45.0	0.019548892974853516	10.0	7.0
35.0	35.0	45.0	0.018999099731445312	10.0	7.0
36.0	36.0	45.0	0.020266056060791016	10.0	7.0
36.0	36.0	45.0	0.020708560943603516	10.0	7.0
36.0	36.0	45.0	0.02090620994567871	10.0	7.0
37.0	37.0	45.0	0.022061824798583984	10.0	7.0
37.0	37.0	45.0	0.020998239517211914	10.0	7.0
38.0	38.0	45.0	0.023061752319335938	10.0	7.0
38.0	38.0	45.0	0.023396015167236328	10.0	7.0
39.0	39.0	45.0	0.023316383361816406	10.0	7.0
39.0	39.0	45.0	0.0232999324798584	10.0	7.0
40.0	40.0	45.0	0.02533888816833496	10.0	7.0
40.0	40.0	45.0	0.02401256561279297	10.0	7.0
40.0	40.0	45.0	0.024216413497924805	10.0	7.0
41.0	41.0	45.0	0.025468826293945312	10.0	7.0
41.0	41.0	45.0	0.025948286056518555	10.0	7.0
42.0	42.0	45.0	0.02557539939880371	10.0	7.0
42.0	42.0	45.0	0.02551126480102539	10.0	7.0
43.0	43.0	45.0	0.027369976043701172	10.0	7.0
43.0	43.0	45.0	0.02655482292175293	10.0	7.0
44.0	44.0	45.0	0.2677268981933594	10.0	7.0
44.0	44.0	45.0	0.06459355354309082	10.0	7.0
6.0	6.0	10.0	0.00218963623046875	10.0	8.0
6.0	6.0	10.0	0.0020554065704345703	10.0	8.0
6.0	6.0	10.0	0.0020422935485839844	10.0	8.0
6.0	6.0	10.0	0.002028942108154297	10.0	8.0
6.0	6.0	10.0	0.0020437240600585938	10.0	8.0
6.0	6.0	10.0	0.0020427703857421875	10.0	8.0
6.0	6.0	10.0	0.00203704833984375	10.0	8.0
6.0	6.0	10.0	0.0020339488983154297	10.0	8.0
6.0	6.0	10.0	0.002048492431640625	10.0	8.0
6.0	6.0	10.0	0.002028226852416992	10.0	8.0
7.0	7.0	10.0	0.0024652481079101562	10.0	8.0
7.0	7.0	10.0	0.0024793148040771484	10.0	8.0
7.0	7.0	10.0	0.0024666786193847656	10.0	8.0
7.0	7.0	10.0	0.002466917037963867	10.0	8.0
7.0	7.0	10.0	0.00247955322265625	10.0	8.0
7.0	7.0	10.0	0.002473592758178711	10.0	8.0
7.0	7.0	10.0	0.002471446990966797	10.0	8.0
7.0	7.0	10.0	0.0024607181549072266	10.0	8.0
